item_id (do not edit),name,category,shopify_term (reference),shopify_price (reference),monthly_rent (current — edit),rentable y/n,buy_price (current guess — edit),purchasable y/n,notes
0f0c34af-d674-492d-9ae6-1a867ed81a3c,3 Position Seat Lift Chair,seating,Month,250.00,250.00,y,300.00,y,
cafe3f69-9219-4144-a343-652cd1c991e0,5 Liter Compact Stationary Oxygen Concentrator,respiratory,1 month,299.00,299.00,y,359.00,y,
5c7815a1-7e6a-40f1-907a-8fb7c28f7c99,COMPANION WHEELCHAIR,mobility,Default Title,199.99,199.99,y,240.00,y,
fa08442d-c8d3-4bde-87a4-a6e1935cb6fa,Companion wheelchair - Lightweight Transport Adult Folding Wheelchair with Handbrakes,mobility,1 week,50.00,50.00,y,60.00,y,
ce74ef4e-9e62-4488-af5f-bb6ecfb2c347,Freestyle Portable Oxygen Concentrator,respiratory,1 month,500.00,500.00,y,600.00,y,
7cd42125-9573-49c6-bc6a-27e4e9a4c0c8,Hip Chair,seating,1 month,200.00,200.00,y,240.00,y,
84563f66-5dae-4193-a63c-12b880432efb,Hospital Bed,bedroom,Month,200.00,200.00,y,240.00,y,
578678c1-2a57-4e76-b040-fa045fe47ab0,Hoyer lift - Hydraulic Standard Patient Lift With Six Point Cradle,mobility,1 Month,150.00,150.00,y,180.00,y,
cdf54019-b4a3-4863-8cd6-52ce25f46096,"Knee Scooter - Dual Pad Steerable Knee Walker with Basket, Alternative to Crutches",mobility,Week,50.00,50.00,y,60.00,y,
e3549867-0507-4f26-94fd-57e1c66d6cf8,Non-Tilt Over bed Table,bedroom,1 mont,35.00,35.00,y,42.00,y,
48fb075a-0726-401e-9223-4af378d5a73e,Reclining Wheelchair,mobility,1 week,75.00,75.00,y,90.00,y,
2607a4c0-488d-4f2f-ba44-46c92f2f2ab6,Suction Machine - Assist Suction Aspirator,respiratory,1 month,200.00,200.00,y,240.00,y,
9e77b973-b909-4daa-aeac-03b224064958,Trapeze Bar,bedroom,1 month,125.00,125.00,y,150.00,y,
08d65acd-c034-4efb-86d9-c9dfc80b4db8,Wheelchair - Light Weight Wheelchair with Various Flip Back Arm Styles and Front Rigging Options,mobility,Default Title,299.99,299.99,y,360.00,y,
